id,name,family,price
48,PapayaWhip Sweatshirt,Sweatshirt,87.42
49,Fuchsia Sweatshirt,Sweatshirt,65.48
50,PaleVioletRed Jacket,Jacket,87.7
51,LimeGreen Sweatshirt,Sweatshirt,23.86
52,Khaki Shirt,Shirt,62.77
53,Orchid Sweatshirt,Sweatshirt,35.35
54,DarkSlateGray Shirt,Shirt,93.98
55,White Shirt,Shirt,22.3
56,Chocolate Sweatshirt,Sweatshirt,92.93
57,LightGreen Shirt,Shirt,50.96
58,OldLace Shirt,Shirt,42.77
59,AliceBlue Jacket,Jacket,96.43
60,MediumOrchid Sweatshirt,Sweatshirt,46.75
61,Orchid Sweatshirt,Sweatshirt,49.76
62,DarkGoldenRod Shirt,Shirt,82.8
63,SandyBrown Sweatshirt,Sweatshirt,29.48
64,MediumVioletRed Sweatshirt,Sweatshirt,38.46
65,AntiqueWhite Jacket,Jacket,59.57
66,DarkSlateBlue Sweatshirt,Sweatshirt,95.94
67,PaleGreen Sweatshirt,Sweatshirt,75.9
68,MistyRose Jacket,Jacket,70.84
69,DarkGoldenRod Sweatshirt,Sweatshirt,83.06
70,LightSkyBlue Sweatshirt,Sweatshirt,91.75
71,YellowGreen Jacket,Jacket,85.91
72,FireBrick Shirt,Shirt,66.45
73,BlueViolet Jacket,Jacket,77.85
74,LightSkyBlue Sweatshirt,Sweatshirt,52.19
75,Cyan Shirt,Shirt,20.26
76,LawnGreen Jacket,Jacket,43.0
77,AntiqueWhite Sweatshirt,Sweatshirt,70.76
78,RoyalBlue Sweatshirt,Sweatshirt,79.46
79,Magenta Shirt,Shirt,47.89
80,LemonChiffon Jacket,Jacket,68.56
81,PowderBlue Sweatshirt,Sweatshirt,90.33
82,Coral Sweatshirt,Sweatshirt,60.46
83,PowderBlue Shirt,Shirt,73.35
84,LightSkyBlue Shirt,Shirt,93.71
85,Green Sweatshirt,Sweatshirt,59.09
86,Lavender Sweatshirt,Sweatshirt,68.4
87,DarkSeaGreen Jacket,Jacket,99.51
88,LightPink Shirt,Shirt,88.07
89,Brown Sweatshirt,Sweatshirt,73.97
90,Purple Sweatshirt,Sweatshirt,35.36
91,MediumSlateBlue Shirt,Shirt,30.11
92,DarkOrange Jacket,Jacket,55.45
93,HotPink Shirt,Shirt,41.22
94,DarkOrchid Jacket,Jacket,70.47
95,Silver Shirt,Shirt,60.35
96,Aqua Shirt,Shirt,30.59
97,Red Sweatshirt,Sweatshirt,44.42
98,MintCream Shirt,Shirt,60.81
99,Blue Sweatshirt,Sweatshirt,25.52
100,PaleGoldenRod Shirt,Shirt,82.95
101,LightPink Shirt,Shirt,29.8
102,Gainsboro Shirt,Shirt,47.01
103,LimeGreen Sweatshirt,Sweatshirt,59.6
104,LightPink Shirt,Shirt,98.61
105,Peru Sweatshirt,Sweatshirt,66.56
106,OldLace Sweatshirt,Sweatshirt,71.02
107,LavenderBlush Sweatshirt,Sweatshirt,93.73
108,Khaki Shirt,Shirt,40.41
109,DarkBlue Shirt,Shirt,69.18
110,DarkSlateGray Sweatshirt,Sweatshirt,62.71
111,Lime Shirt,Shirt,87.91
112,Brown Sweatshirt,Sweatshirt,92.98
113,AliceBlue Jacket,Jacket,87.08
114,Wheat Jacket,Jacket,36.04
115,HoneyDew Sweatshirt,Sweatshirt,39.05
116,LightSlateGray Sweatshirt,Sweatshirt,76.73
117,DarkGreen Sweatshirt,Sweatshirt,67.55
118,YellowGreen Shirt,Shirt,55.55
119,NavajoWhite Sweatshirt,Sweatshirt,56.36
120,Fuchsia Sweatshirt,Sweatshirt,94.63
121,Lavender Shirt,Shirt,57.35
122,NavajoWhite Sweatshirt,Sweatshirt,34.62
123,NavajoWhite Jacket,Jacket,77.64
124,OldLace Sweatshirt,Sweatshirt,65.83
125,Sienna Sweatshirt,Sweatshirt,64.05
126,FloralWhite Jacket,Jacket,26.64
127,Brown Sweatshirt,Sweatshirt,60.02
128,DimGray Jacket,Jacket,76.27
129,DarkSeaGreen Shirt,Shirt,59.67
130,DarkBlue Shirt,Shirt,30.67
131,Black Shirt,Shirt,90.37
132,OrangeRed Shirt,Shirt,86.5
133,LavenderBlush Jacket,Jacket,37.47
134,DarkSlateBlue Shirt,Shirt,99.35
135,Yellow Sweatshirt,Sweatshirt,77.68
136,DarkOrchid Shirt,Shirt,62.05
137,LightCoral Sweatshirt,Sweatshirt,20.94
138,Coral Sweatshirt,Sweatshirt,53.91
139,RosyBrown Sweatshirt,Sweatshirt,24.71
140,LightSteelBlue Sweatshirt,Sweatshirt,74.88
141,MediumSpringGreen Jacket,Jacket,66.65
142,LightSkyBlue Sweatshirt,Sweatshirt,58.53
143,Moccasin Sweatshirt,Sweatshirt,27.33
144,Gainsboro Jacket,Jacket,78.79
145,LightPink Sweatshirt,Sweatshirt,65.23
146,BurlyWood Sweatshirt,Sweatshirt,93.05
147,MediumVioletRed Sweatshirt,Sweatshirt,86.33
148,SkyBlue Sweatshirt,Sweatshirt,95.45
149,IndianRed Sweatshirt,Sweatshirt,68.24
150,SpringGreen Jacket,Jacket,67.97
151,IndianRed Sweatshirt,Sweatshirt,71.3
152,DarkBlue Sweatshirt,Sweatshirt,32.92
153,GreenYellow Sweatshirt,Sweatshirt,21.09
154,MintCream Shirt,Shirt,25.35
155,DarkCyan Sweatshirt,Sweatshirt,63.16
156,SlateGray Sweatshirt,Sweatshirt,74.06
157,Aquamarine Shirt,Shirt,57.22
158,SaddleBrown Sweatshirt,Sweatshirt,52.15
159,Gainsboro Shirt,Shirt,37.87
160,LightSteelBlue Shirt,Shirt,67.32
161,MediumSpringGreen Shirt,Shirt,88.16
162,PeachPuff Sweatshirt,Sweatshirt,51.75
163,PaleTurquoise Shirt,Shirt,49.5
164,DarkKhaki Sweatshirt,Sweatshirt,66.77
165,MediumPurple Shirt,Shirt,57.91
166,PaleTurquoise Shirt,Shirt,98.1
167,ForestGreen Sweatshirt,Sweatshirt,65.62
168,DarkBlue Jacket,Jacket,24.46
169,MediumAquaMarine Jacket,Jacket,60.44
170,SeaShell Sweatshirt,Sweatshirt,51.98
171,DarkTurquoise Sweatshirt,Sweatshirt,92.78
172,Indigo Sweatshirt,Sweatshirt,41.34
173,Purple Shirt,Shirt,33.74
174,PaleGoldenRod Jacket,Jacket,66.69
175,Gray Sweatshirt,Sweatshirt,63.39
176,Red Sweatshirt,Sweatshirt,61.8
177,MediumPurple Jacket,Jacket,56.57
178,WhiteSmoke Sweatshirt,Sweatshirt,42.8
179,DarkGreen Jacket,Jacket,72.59
180,SeaShell Shirt,Shirt,24.2
181,OliveDrab Shirt,Shirt,27.91
182,Snow Shirt,Shirt,34.86
183,LightSkyBlue Sweatshirt,Sweatshirt,20.67
184,Maroon Sweatshirt,Sweatshirt,59.91
185,SandyBrown Sweatshirt,Sweatshirt,78.63
186,ForestGreen Jacket,Jacket,96.95
187,MediumAquaMarine Sweatshirt,Sweatshirt,69.14
188,DarkTurquoise Shirt,Shirt,42.88
189,DarkViolet Shirt,Shirt,78.36
190,Purple Shirt,Shirt,84.67
191,DarkOrchid Sweatshirt,Sweatshirt,30.04
192,DeepPink Jacket,Jacket,29.88
193,PaleGreen Shirt,Shirt,43.22
194,LightCyan Shirt,Shirt,39.91
195,DarkMagenta Sweatshirt,Sweatshirt,36.31
196,YellowGreen Shirt,Shirt,61.64
197,Lime Sweatshirt,Sweatshirt,32.2
198,GhostWhite Sweatshirt,Sweatshirt,96.66
199,SpringGreen Sweatshirt,Sweatshirt,84.41
200,AliceBlue Jacket,Jacket,47.09
201,DarkCyan Sweatshirt,Sweatshirt,99.41
202,HoneyDew Shirt,Shirt,26.47
203,GreenYellow Jacket,Jacket,72.26
204,DarkSeaGreen Jacket,Jacket,23.62
205,HoneyDew Jacket,Jacket,84.17
206,DarkSlateBlue Sweatshirt,Sweatshirt,60.14
207,DarkOrchid Sweatshirt,Sweatshirt,34.82
208,Blue Sweatshirt,Sweatshirt,58.62
209,DarkKhaki Sweatshirt,Sweatshirt,51.63
210,DeepSkyBlue Sweatshirt,Sweatshirt,24.27
211,Cornsilk Sweatshirt,Sweatshirt,64.57
212,MediumBlue Sweatshirt,Sweatshirt,46.19
213,Magenta Sweatshirt,Sweatshirt,77.28
214,Orchid Shirt,Shirt,55.02
215,BlanchedAlmond Jacket,Jacket,69.43
216,PeachPuff Jacket,Jacket,31.38
217,Green Shirt,Shirt,24.07
218,LightSeaGreen Shirt,Shirt,53.53
219,AntiqueWhite Shirt,Shirt,58.27
220,Chocolate Sweatshirt,Sweatshirt,64.42
221,Gold Shirt,Shirt,55.57
222,DeepSkyBlue Shirt,Shirt,68.68
223,OliveDrab Sweatshirt,Sweatshirt,37.28
224,Olive Shirt,Shirt,74.17
225,CadetBlue Sweatshirt,Sweatshirt,60.25
226,MediumSeaGreen Shirt,Shirt,96.38
227,MediumVioletRed Shirt,Shirt,81.92
228,Turquoise Shirt,Shirt,42.48
229,LawnGreen Jacket,Jacket,27.58
230,Aqua Shirt,Shirt,47.16
231,Gold Shirt,Shirt,54.29
232,HoneyDew Sweatshirt,Sweatshirt,97.08
233,GoldenRod Sweatshirt,Sweatshirt,90.09
234,LightBlue Sweatshirt,Sweatshirt,74.59
235,DarkSeaGreen Shirt,Shirt,65.62
236,DarkSalmon Shirt,Shirt,72.28
237,DimGray Sweatshirt,Sweatshirt,97.9
238,SeaGreen Jacket,Jacket,37.35
239,DarkKhaki Shirt,Shirt,85.8
240,Peru Jacket,Jacket,99.01
241,LavenderBlush Shirt,Shirt,33.09
242,Tan Sweatshirt,Sweatshirt,32.05
243,ForestGreen Sweatshirt,Sweatshirt,27.88
244,LightCoral Shirt,Shirt,41.63
245,MediumAquaMarine Sweatshirt,Sweatshirt,25.38
246,MediumAquaMarine Jacket,Jacket,37.87
247,Orange Sweatshirt,Sweatshirt,69.52
248,ForestGreen Sweatshirt,Sweatshirt,67.8
249,YellowGreen Shirt,Shirt,85.14
250,SkyBlue Shirt,Shirt,97.44
251,LightSeaGreen Jacket,Jacket,35.96
252,Azure Sweatshirt,Sweatshirt,46.22
253,Bisque Shirt,Shirt,39.33
254,DarkGoldenRod Shirt,Shirt,85.26
255,Thistle Sweatshirt,Sweatshirt,81.17
256,DimGray Sweatshirt,Sweatshirt,76.29
257,Blue Sweatshirt,Sweatshirt,85.66
258,LightGreen Shirt,Shirt,27.56
259,Tomato Jacket,Jacket,84.6
260,Khaki Shirt,Shirt,80.11
261,Turquoise Jacket,Jacket,28.09
262,Lavender Sweatshirt,Sweatshirt,79.16
263,Tomato Shirt,Shirt,43.47
264,Peru Jacket,Jacket,83.49
265,Red Sweatshirt,Sweatshirt,47.68
266,SeaShell Shirt,Shirt,98.28
267,LightGoldenRodYellow Shirt,Shirt,73.49
268,Green Shirt,Shirt,54.15
269,PaleVioletRed Sweatshirt,Sweatshirt,28.51
270,Plum Jacket,Jacket,32.97
271,SaddleBrown Sweatshirt,Sweatshirt,91.52
272,RosyBrown Sweatshirt,Sweatshirt,20.23
273,Tan Sweatshirt,Sweatshirt,39.77
274,Black Sweatshirt,Sweatshirt,50.11
275,Pink Jacket,Jacket,60.22
276,NavajoWhite Shirt,Shirt,80.8
277,MediumAquaMarine Sweatshirt,Sweatshirt,26.03
278,LightSeaGreen Sweatshirt,Sweatshirt,57.97
279,Violet Sweatshirt,Sweatshirt,49.2
280,Chocolate Shirt,Shirt,42.75
281,LightSlateGray Sweatshirt,Sweatshirt,85.82
282,GhostWhite Sweatshirt,Sweatshirt,66.91
283,DarkGoldenRod Shirt,Shirt,23.59
284,BurlyWood Shirt,Shirt,59.08
285,FireBrick Sweatshirt,Sweatshirt,31.3
286,DarkViolet Shirt,Shirt,32.19
287,Brown Sweatshirt,Sweatshirt,59.96
288,LightSlateGray Shirt,Shirt,22.11
289,LightCyan Shirt,Shirt,90.15
290,Khaki Shirt,Shirt,43.53
291,DarkOrange Sweatshirt,Sweatshirt,59.49
292,Chartreuse Sweatshirt,Sweatshirt,47.41
293,HoneyDew Sweatshirt,Sweatshirt,68.23
294,Azure Jacket,Jacket,94.79
295,Cornsilk Sweatshirt,Sweatshirt,70.35
296,LightCyan Sweatshirt,Sweatshirt,64.68
297,DarkKhaki Shirt,Shirt,74.96
298,DarkRed Shirt,Shirt,25.37
299,DarkOliveGreen Sweatshirt,Sweatshirt,59.54
300,MediumSeaGreen Sweatshirt,Sweatshirt,43.42
301,HotPink Sweatshirt,Sweatshirt,56.19
302,Plum Shirt,Shirt,51.1
303,HotPink Sweatshirt,Sweatshirt,80.72
304,DarkSeaGreen Sweatshirt,Sweatshirt,56.55
305,MediumSeaGreen Sweatshirt,Sweatshirt,30.76
306,Turquoise Jacket,Jacket,47.22
307,DarkSlateGray Shirt,Shirt,98.37
308,DarkGreen Sweatshirt,Sweatshirt,24.37
309,Khaki Shirt,Shirt,80.4
310,Gainsboro Jacket,Jacket,21.3
311,DodgerBlue Sweatshirt,Sweatshirt,68.45
312,Tomato Shirt,Shirt,48.21
313,Ivory Shirt,Shirt,76.72
314,CornflowerBlue Sweatshirt,Sweatshirt,30.33
315,HotPink Sweatshirt,Sweatshirt,87.16
316,LightSeaGreen Shirt,Shirt,49.66
317,GoldenRod Jacket,Jacket,20.09
318,MistyRose Sweatshirt,Sweatshirt,38.49
319,Olive Sweatshirt,Sweatshirt,25.22
320,SlateBlue Sweatshirt,Sweatshirt,53.23
321,Crimson Sweatshirt,Sweatshirt,97.97
322,DimGray Sweatshirt,Sweatshirt,23.16
323,Chartreuse Jacket,Jacket,71.74
324,Indigo Sweatshirt,Sweatshirt,36.15
325,MidnightBlue Jacket,Jacket,23.46
326,PaleGoldenRod Sweatshirt,Sweatshirt,54.98
327,DimGray Shirt,Shirt,34.29
328,Salmon Shirt,Shirt,37.14
329,PaleGreen Shirt,Shirt,59.79
330,DarkSalmon Sweatshirt,Sweatshirt,69.27
331,Lavender Jacket,Jacket,74.41
332,SlateGray Shirt,Shirt,39.18
333,Teal Shirt,Shirt,52.65
334,PapayaWhip Sweatshirt,Sweatshirt,52.52
335,Gainsboro Sweatshirt,Sweatshirt,87.26
336,Cyan Shirt,Shirt,70.92
337,GhostWhite Sweatshirt,Sweatshirt,93.61
338,Red Jacket,Jacket,69.51
339,FloralWhite Sweatshirt,Sweatshirt,35.82
340,DarkTurquoise Shirt,Shirt,59.35
341,Tan Jacket,Jacket,27.46
342,HoneyDew Jacket,Jacket,37.2
343,Chartreuse Sweatshirt,Sweatshirt,55.41
344,PapayaWhip Sweatshirt,Sweatshirt,71.22
345,LightGreen Sweatshirt,Sweatshirt,59.79
346,PeachPuff Jacket,Jacket,59.42
347,AntiqueWhite Jacket,Jacket,92.93
348,HoneyDew Sweatshirt,Sweatshirt,49.14
349,Wheat Sweatshirt,Sweatshirt,45.92
350,MediumPurple Sweatshirt,Sweatshirt,51.9
351,GoldenRod Sweatshirt,Sweatshirt,50.22
352,Blue Sweatshirt,Sweatshirt,81.94
353,Black Sweatshirt,Sweatshirt,30.95
354,Coral Sweatshirt,Sweatshirt,37.72
355,SlateGray Jacket,Jacket,93.06
356,CornflowerBlue Shirt,Shirt,81.72
357,MistyRose Shirt,Shirt,83.55
358,OrangeRed Shirt,Shirt,64.42
359,Tomato Sweatshirt,Sweatshirt,59.59
360,Purple Jacket,Jacket,25.8
361,DarkRed Jacket,Jacket,89.94
362,Coral Sweatshirt,Sweatshirt,35.1
363,ForestGreen Sweatshirt,Sweatshirt,89.41
364,Linen Shirt,Shirt,34.11
365,LightCyan Shirt,Shirt,99.27
366,LightSalmon Sweatshirt,Sweatshirt,26.93
367,BurlyWood Sweatshirt,Sweatshirt,84.46
368,AntiqueWhite Jacket,Jacket,26.65
369,MediumSeaGreen Sweatshirt,Sweatshirt,91.12
370,GhostWhite Shirt,Shirt,54.8
371,Sienna Shirt,Shirt,59.84
372,OliveDrab Sweatshirt,Sweatshirt,24.88
373,DarkSlateGray Sweatshirt,Sweatshirt,34.8
374,BlanchedAlmond Shirt,Shirt,72.08
375,SeaGreen Sweatshirt,Sweatshirt,23.63
376,DarkBlue Shirt,Shirt,99.93
377,OldLace Shirt,Shirt,65.56
378,LightPink Sweatshirt,Sweatshirt,37.5
379,Thistle Jacket,Jacket,22.87
380,PaleVioletRed Sweatshirt,Sweatshirt,28.44
381,Brown Sweatshirt,Sweatshirt,38.88
382,Beige Shirt,Shirt,31.11
383,HoneyDew Shirt,Shirt,41.93
384,MediumOrchid Shirt,Shirt,92.61
385,DarkViolet Shirt,Shirt,60.14
386,LightSteelBlue Sweatshirt,Sweatshirt,71.94
387,DimGray Sweatshirt,Sweatshirt,44.51
388,Peru Shirt,Shirt,36.22
389,Linen Jacket,Jacket,34.29
390,DarkGreen Jacket,Jacket,63.19
391,MediumOrchid Sweatshirt,Sweatshirt,72.76
392,LightSteelBlue Sweatshirt,Sweatshirt,43.09
393,Magenta Sweatshirt,Sweatshirt,35.14
394,LawnGreen Shirt,Shirt,30.28
395,AntiqueWhite Jacket,Jacket,73.4
396,SlateGray Sweatshirt,Sweatshirt,43.75
397,Orange Sweatshirt,Sweatshirt,64.55
398,Tomato Shirt,Shirt,70.9
399,GreenYellow Jacket,Jacket,35.66
400,FireBrick Sweatshirt,Sweatshirt,76.44
401,Ivory Shirt,Shirt,31.82
402,DarkGoldenRod Shirt,Shirt,27.92
403,MediumSlateBlue Sweatshirt,Sweatshirt,30.89
404,DarkGreen Sweatshirt,Sweatshirt,96.49
405,DarkOrchid Sweatshirt,Sweatshirt,89.86
406,Black Shirt,Shirt,79.73
407,CornflowerBlue Shirt,Shirt,27.11
408,CadetBlue Shirt,Shirt,69.3
409,PaleVioletRed Jacket,Jacket,75.35
410,LightSteelBlue Shirt,Shirt,27.69
411,DarkMagenta Shirt,Shirt,66.01
412,LightSteelBlue Sweatshirt,Sweatshirt,40.14
413,YellowGreen Sweatshirt,Sweatshirt,90.69
414,IndianRed Sweatshirt,Sweatshirt,22.45
415,OldLace Sweatshirt,Sweatshirt,86.18
416,MediumTurquoise Jacket,Jacket,93.75
417,SeaShell Jacket,Jacket,55.47
418,MediumBlue Sweatshirt,Sweatshirt,82.81
419,DarkViolet Sweatshirt,Sweatshirt,37.39
420,DarkGray Shirt,Shirt,57.33
421,Brown Sweatshirt,Sweatshirt,31.57
422,LightGoldenRodYellow Sweatshirt,Sweatshirt,55.04
423,PapayaWhip Sweatshirt,Sweatshirt,32.45
424,Black Sweatshirt,Sweatshirt,86.5
425,Gray Sweatshirt,Sweatshirt,64.47
426,LavenderBlush Sweatshirt,Sweatshirt,63.43
427,DeepPink Jacket,Jacket,57.05
428,SaddleBrown Sweatshirt,Sweatshirt,64.7
429,Gray Sweatshirt,Sweatshirt,24.92
430,GhostWhite Shirt,Shirt,54.7
431,CadetBlue Sweatshirt,Sweatshirt,36.32
432,Pink Sweatshirt,Sweatshirt,57.5
433,CadetBlue Jacket,Jacket,99.42
434,CornflowerBlue Shirt,Shirt,93.82
435,Violet Shirt,Shirt,67.1
436,Azure Jacket,Jacket,57.57
437,RosyBrown Jacket,Jacket,63.67
438,MintCream Sweatshirt,Sweatshirt,32.43
439,Brown Jacket,Jacket,34.97
440,Maroon Shirt,Shirt,65.06
441,LightSkyBlue Shirt,Shirt,47.16
442,Lavender Sweatshirt,Sweatshirt,24.54
443,Purple Shirt,Shirt,21.57
444,Ivory Sweatshirt,Sweatshirt,39.03
445,Crimson Shirt,Shirt,38.14
446,MediumSpringGreen Sweatshirt,Sweatshirt,82.26
447,DarkMagenta Sweatshirt,Sweatshirt,89.21
448,SpringGreen Sweatshirt,Sweatshirt,64.82
449,BlanchedAlmond Sweatshirt,Sweatshirt,65.83
450,SlateGray Sweatshirt,Sweatshirt,79.47
451,Violet Sweatshirt,Sweatshirt,81.5
452,Gray Shirt,Shirt,45.29
453,OliveDrab Sweatshirt,Sweatshirt,81.69
454,DarkSeaGreen Shirt,Shirt,30.84
455,Peru Sweatshirt,Sweatshirt,90.08
456,Beige Shirt,Shirt,56.81
457,DarkViolet Shirt,Shirt,34.49
458,BurlyWood Jacket,Jacket,98.65
459,Khaki Sweatshirt,Sweatshirt,25.54
460,Gray Shirt,Shirt,68.08
461,Gold Sweatshirt,Sweatshirt,65.09
462,MediumOrchid Sweatshirt,Sweatshirt,74.99
463,LightGreen Sweatshirt,Sweatshirt,45.95
464,OliveDrab Sweatshirt,Sweatshirt,61.03
465,Yellow Shirt,Shirt,63.59
466,MediumPurple Sweatshirt,Sweatshirt,35.91
467,GhostWhite Shirt,Shirt,58.94
468,Moccasin Sweatshirt,Sweatshirt,60.62
469,Azure Sweatshirt,Sweatshirt,42.66
470,LightSkyBlue Shirt,Shirt,82.68
471,MediumVioletRed Sweatshirt,Sweatshirt,54.8
472,WhiteSmoke Sweatshirt,Sweatshirt,41.37
473,LightSkyBlue Sweatshirt,Sweatshirt,55.23
474,SeaShell Shirt,Shirt,48.59
475,Purple Shirt,Shirt,78.57
476,Linen Sweatshirt,Sweatshirt,64.45
477,MediumAquaMarine Shirt,Shirt,98.32
478,AliceBlue Jacket,Jacket,99.95
479,LightSkyBlue Jacket,Jacket,69.56
480,White Shirt,Shirt,27.39
481,FireBrick Shirt,Shirt,30.68
482,GreenYellow Sweatshirt,Sweatshirt,87.03
483,RosyBrown Shirt,Shirt,44.67
484,Navy Sweatshirt,Sweatshirt,60.11
485,DarkBlue Shirt,Shirt,33.26
486,DarkRed Jacket,Jacket,72.36
487,GoldenRod Jacket,Jacket,94.59
488,LightYellow Jacket,Jacket,36.0
489,LightCoral Shirt,Shirt,43.79
490,Salmon Sweatshirt,Sweatshirt,83.51
491,Khaki Jacket,Jacket,64.16
492,Magenta Sweatshirt,Sweatshirt,72.27
493,LightSteelBlue Jacket,Jacket,84.12
494,SlateBlue Sweatshirt,Sweatshirt,80.6
495,DarkCyan Jacket,Jacket,85.99
496,LightSlateGray Sweatshirt,Sweatshirt,58.27
497,GhostWhite Jacket,Jacket,50.72
498,Teal Shirt,Shirt,95.07
499,PeachPuff Shirt,Shirt,60.14
500,Turquoise Jacket,Jacket,30.19
501,Fuchsia Sweatshirt,Sweatshirt,60.74
502,MediumBlue Sweatshirt,Sweatshirt,50.3
503,SeaGreen Sweatshirt,Sweatshirt,45.49
504,LightCoral Sweatshirt,Sweatshirt,64.58
505,LavenderBlush Sweatshirt,Sweatshirt,54.71
506,Lime Sweatshirt,Sweatshirt,37.54
507,WhiteSmoke Sweatshirt,Sweatshirt,47.92
508,Tan Shirt,Shirt,31.35
509,LightPink Shirt,Shirt,68.93
510,LightSkyBlue Sweatshirt,Sweatshirt,20.5
511,DarkGoldenRod Shirt,Shirt,21.55
512,YellowGreen Jacket,Jacket,34.74
513,LimeGreen Sweatshirt,Sweatshirt,74.13
514,MistyRose Sweatshirt,Sweatshirt,27.01
515,AntiqueWhite Shirt,Shirt,21.26
516,DeepSkyBlue Shirt,Shirt,81.95
517,OrangeRed Jacket,Jacket,50.68
518,BurlyWood Shirt,Shirt,72.06
519,OldLace Shirt,Shirt,64.94
520,Bisque Jacket,Jacket,74.01
521,Aquamarine Sweatshirt,Sweatshirt,27.29
522,Thistle Shirt,Shirt,71.35
523,Chartreuse Shirt,Shirt,75.71
524,Snow Shirt,Shirt,46.66
525,LavenderBlush Shirt,Shirt,41.04
526,LightCyan Shirt,Shirt,48.18
527,MintCream Shirt,Shirt,45.46
528,Bisque Jacket,Jacket,59.14
529,RoyalBlue Sweatshirt,Sweatshirt,61.02
530,AliceBlue Shirt,Shirt,24.66
531,CadetBlue Sweatshirt,Sweatshirt,56.89
532,DarkSeaGreen Sweatshirt,Sweatshirt,37.49
533,ForestGreen Jacket,Jacket,27.51
534,Gold Shirt,Shirt,96.85
535,Turquoise Sweatshirt,Sweatshirt,90.52
536,Violet Jacket,Jacket,23.89
537,Ivory Shirt,Shirt,89.27
538,Magenta Sweatshirt,Sweatshirt,57.02
539,DarkSalmon Shirt,Shirt,56.8
540,WhiteSmoke Sweatshirt,Sweatshirt,98.37
541,Beige Sweatshirt,Sweatshirt,94.81
542,LightGoldenRodYellow Sweatshirt,Sweatshirt,88.97
543,Olive Sweatshirt,Sweatshirt,64.17
544,DarkGray Sweatshirt,Sweatshirt,28.14
545,MediumAquaMarine Shirt,Shirt,44.79
546,AliceBlue Sweatshirt,Sweatshirt,44.95
547,Gray Sweatshirt,Sweatshirt,92.54
548,OrangeRed Sweatshirt,Sweatshirt,31.68
549,Turquoise Shirt,Shirt,59.99
550,Aquamarine Shirt,Shirt,26.46
551,CornflowerBlue Sweatshirt,Sweatshirt,68.52
552,Red Shirt,Shirt,94.69
553,Black Shirt,Shirt,84.43
554,SeaShell Shirt,Shirt,63.19
555,SlateBlue Shirt,Shirt,96.46
556,LimeGreen Sweatshirt,Sweatshirt,93.96
557,Indigo Sweatshirt,Sweatshirt,99.69
558,RoyalBlue Sweatshirt,Sweatshirt,67.4
559,OldLace Sweatshirt,Sweatshirt,59.29
560,Blue Shirt,Shirt,34.04
561,Pink Jacket,Jacket,50.2
562,Teal Shirt,Shirt,84.89
563,SeaGreen Jacket,Jacket,32.66
564,Plum Shirt,Shirt,98.8
565,LightSalmon Shirt,Shirt,92.26
566,Pink Sweatshirt,Sweatshirt,76.07
567,Chocolate Jacket,Jacket,89.17
568,LightYellow Shirt,Shirt,62.21
569,AliceBlue Jacket,Jacket,85.84
570,CadetBlue Shirt,Shirt,52.1
571,Coral Sweatshirt,Sweatshirt,62.93
572,FireBrick Sweatshirt,Sweatshirt,39.19
